condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2249.599030,1000,False,True,65.084111,-4.496090,64.184893
nominal,1,1.000000,1.000000,1.000000,2285.565773,1000,False,True,66.874536,-1.665544,66.541427
nominal,2,1.000000,1.000000,1.000000,2209.258694,1000,False,True,63.080483,-3.194093,62.441664
nominal,3,1.000000,1.000000,1.000000,2195.954559,1000,False,True,62.437491,-0.200135,62.397464
nominal,4,1.000000,1.000000,1.000000,1075.633930,490,True,False,30.557297,-0.356042,30.486089
nominal,5,1.000000,1.000000,1.000000,2249.222120,1000,False,True,65.114002,-6.582148,63.797572
nominal,6,1.000000,1.000000,1.000000,2021.839280,899,True,False,58.493494,-12.237190,56.046056
nominal,7,1.000000,1.000000,1.000000,2212.377971,1000,False,True,63.255908,-7.178035,61.820301
nominal,8,1.000000,1.000000,1.000000,2180.689099,1000,False,True,61.679119,-0.577444,61.563630
nominal,9,1.000000,1.000000,1.000000,217.585291,109,True,False,5.711434,-2.750006,5.161433
nominal,10,1.000000,1.000000,1.000000,2274.709783,1000,False,True,66.353004,-8.958501,64.561304
nominal,11,1.000000,1.000000,1.000000,1007.183966,1000,False,True,2.980762,-0.058889,2.968984
nominal,12,1.000000,1.000000,1.000000,2253.730839,1000,False,True,65.295386,-1.688254,64.957735
nominal,13,1.000000,1.000000,1.000000,2273.418652,1000,False,True,66.286775,-2.175970,65.851580
nominal,14,1.000000,1.000000,1.000000,2268.055211,1000,False,True,65.997358,-4.769664,65.043425
nominal,15,1.000000,1.000000,1.000000,2275.149445,1000,False,True,66.357518,-1.037827,66.149952
nominal,16,1.000000,1.000000,1.000000,166.880480,110,True,False,3.156014,-3.185304,2.518954
nominal,17,1.000000,1.000000,1.000000,2243.726027,1000,False,True,64.771132,-3.079564,64.155219
nominal,18,1.000000,1.000000,1.000000,2265.467244,1000,False,True,65.855110,-2.179972,65.419116
nominal,19,1.000000,1.000000,1.000000,2257.226126,1000,False,True,65.484010,-2.671073,64.949795
randomized,0,1.109569,0.769787,0.540974,2220.241167,1000,False,True,63.632049,-4.725657,62.686918
randomized,1,0.613222,1.313270,1.412756,2152.587054,1000,False,True,60.248645,5.923124,59.064020
randomized,2,1.085309,1.229497,1.043625,2232.668350,1000,False,True,64.264805,-2.911269,63.682551
randomized,3,1.348058,1.315854,0.502739,2196.227139,1000,False,True,62.412393,-3.547407,61.702912
randomized,4,1.285923,0.533586,1.229655,2174.594219,1000,False,True,61.345032,-3.449540,60.655124
randomized,5,0.740524,1.363179,1.041461,1171.962356,530,True,False,33.478291,-3.325728,32.813146
randomized,6,0.839770,0.922687,0.528320,2234.871223,1000,False,True,64.344026,-9.976217,62.348782
randomized,7,0.699427,1.170624,1.147190,208.362489,110,True,False,5.216695,-2.792814,4.658132
randomized,8,1.092308,0.883678,1.497210,2260.494216,1000,False,True,65.646370,-4.250211,64.796328
randomized,9,1.384668,1.185542,1.150459,2221.736788,1000,False,True,63.716400,0.652103,63.585980
randomized,10,1.150757,0.888921,0.635097,2206.690721,1000,False,True,62.948055,-4.544084,62.039238
randomized,11,1.177191,1.025354,0.810242,2179.654754,1000,False,True,61.616922,-6.043737,60.408175
randomized,12,0.988668,1.389488,1.434044,1880.931186,903,True,False,51.276596,7.557928,49.765010
randomized,13,0.886236,1.071530,0.821869,2253.254561,1000,False,True,65.274183,-3.191472,64.635889
randomized,14,1.075440,0.837911,0.891619,2293.694227,1000,False,True,67.290597,-6.982803,65.894036
randomized,15,1.312219,0.727158,1.123187,2250.869086,1000,False,True,65.154578,-2.729096,64.608759
randomized,16,0.667212,1.332644,1.287098,112.392829,71,True,False,2.275769,-2.424323,1.790904
randomized,17,0.791496,1.376484,0.558568,192.849738,110,True,False,4.446994,-3.048811,3.837232
randomized,18,0.868894,0.650279,0.950339,2189.827254,1000,False,True,62.117810,-7.606772,60.596456
randomized,19,1.237059,0.730642,0.552021,2206.313417,1000,False,True,62.933026,-7.297343,61.473557
